date,price
2015-01-01,1938.904487925004
2015-01-02,1938.904487925004
2015-01-05,1781.9595351960995
2015-01-06,1796.487307085589
2015-01-07,1759.49110940828
2015-01-08,1759.49110940828
2015-01-09,1667.3276432224684
2015-01-12,1788.957201182003
2015-01-13,1786.6387900543589
2015-01-14,1826.028530270857
2015-01-15,1912.10765934395
2015-01-16,1863.4717814828507
2015-01-19,1782.4550308196876
2015-01-20,1800.683437320124
2015-01-21,1832.0694137048013
2015-01-22,1832.0694137048013
2015-01-23,1945.00715892974
2015-01-26,2088.5002872711952
2015-01-27,2026.767688584356
2015-01-28,2026.767688584356
2015-01-29,2009.285868718009
2015-01-30,2039.158442983584
2015-02-02,2009.913184223743
2015-02-03,2039.796077685268
2015-02-04,2059.613120498215
2015-02-05,2059.613120498215
2015-02-06,1922.6448468453016
2015-02-09,1830.60354137736
2015-02-10,1788.8193248824
2015-02-11,1788.8193248824
2015-02-12,1759.509491357969
2015-02-13,1807.0792934916528
2015-02-16,1767.1527559087726
2015-02-17,1777.186967868015
2015-02-18,1733.614413195011
2015-02-19,1722.1118096315406
2015-02-20,1738.0912891592848
2015-02-23,1702.5064277378742
2015-02-24,1779.7594011812478
2015-02-25,1779.7594011812478
2015-02-26,1685.6618842777334
2015-02-27,1685.6618842777334
2015-03-02,1643.4449670765953
2015-03-03,1643.4449670765953
2015-03-04,1677.4717505884207
2015-03-05,1714.5014197219211
2015-03-06,1694.2766629298303
2015-03-09,1757.138776507318
2015-03-10,1649.8620485248805
2015-03-11,1649.8620485248805
2015-03-12,1636.7804005474004
2015-03-13,1634.6761942532196
2015-03-16,1562.1465428191243
2015-03-17,1484.392011890655
2015-03-18,1536.9807898222837
2015-03-19,1536.9807898222837
2015-03-20,1536.9807898222837
2015-03-23,1441.9194890697438
2015-03-24,1476.2206108805417
2015-03-25,1503.8330429262692
2015-03-26,1539.1185080027285
2015-03-27,1539.1185080027285
2015-03-30,1514.9516629997129
2015-03-31,1482.524880900677
2015-04-01,1426.5394850259192
2015-04-02,1421.212191345904
2015-04-03,1492.2570126643418
2015-04-06,1595.283565085567
2015-04-07,1595.283565085567
